group,target_names,anchor_names,layer,variant,alpha,target_rank,anchor_rank,residual_rank,target_feature_leakage,target_basis_leakage,anchor_feature_error,raw_frozen_s_distortion,normalized_frozen_s_distortion,f_minus_g_normalized_preservation,compensation_magnitude,compensation_orthogonality_residual,anchor_pointwise_fix_residual,anchor_residual_basis_orthogonality,gram_residual,projection_gram_match_residual,compensation_trace_error
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.25916809541788838,0.90120899842436319,0.10014289311906131,1393.7761331292197,0.18192957640788388,,,,,,,,
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.2986413038175923e-28,1.0080063192187411e-28,1.1488024632719387e-28,731.81904103748309,0.095524327744267279,0.075110082827848035,0.35492945224075373,1.8685858291360313e-12,1.4552581671078896e-14,1.9285330776326442e-14,1.8057914663613812e-12,1.8057914663613812e-12,5.4569682106375694e-12
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.3174572664713286e-28,1.0075170550640743e-28,1.2522519135717794e-28,156.39506177142201,0.020414244916419241,0.075110082827848035,0.35492945224075373,1.8685858291360313e-12,1.4552581671078896e-14,1.9285330776326442e-14,1.8057914663613812e-12,1.8057914663613812e-12,5.4569682106375694e-12
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.66014157494565762,0.9568657798007193,0.13454247299900721,2577.7975295043525,0.12494924668483887,,,,,,,,
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,4.9377021273671724e-29,7.450095851463032e-29,3.0266391069465561e-29,1614.4444647462637,0.078254252855669421,0.062251286154504148,0.27405285137777785,6.4343868552274452e-12,1.5999106831385123e-14,1.621935714478183e-14,6.3745396426084375e-12,6.3745396426084375e-12,1.0186340659856796e-10
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,4.9162824608836075e-29,7.4855314892555672e-29,6.157986315654027e-29,330.15331521810401,0.016002966701165269,0.062251286154504148,0.27405285137777785,6.4343868552274452e-12,1.5999106831385123e-14,1.621935714478183e-14,6.3745396426084375e-12,6.3745396426084375e-12,1.0186340659856796e-10
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.48240865375138847,0.93404967238169634,0.10978316284903762,2071.6842782178583,0.13323058120719097,,,,,,,,
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,2.8428972119468417e-29,7.4067411498569348e-29,5.1139677814944922e-29,1428.3259189591924,0.091856029577986095,0.075055867530938208,0.27261717888247705,6.5169253027529365e-12,1.3537584632991141e-14,1.4344120570819065e-14,6.4403719107188195e-12,6.4403719107188195e-12,4.0017766878008842e-11
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,2.8165462581231974e-29,7.4682864404955155e-29,6.8638556437992032e-29,261.23605608426863,0.01680016204704788,0.075055867530938208,0.27261717888247705,6.5169253027529365e-12,1.3537584632991141e-14,1.4344120570819065e-14,6.4403719107188195e-12,6.4403719107188195e-12,4.0017766878008842e-11
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.89305930313126158,0.98140393379689839,0.094349900696976713,3960.9713086276447,0.07714579152871627,,,,,,,,
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,5.9448645850359979e-29,1.6412699524308598e-28,1.4306045588411093e-29,1631.3504932944836,0.031772970632692743,0.020357258476590367,0.92419787806799947,2.4618727642626979e-11,1.9376665746320624e-14,1.6119491077999024e-14,2.4506580325437821e-11,2.4506580325437821e-11,6.2573235481977463e-10
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,6.0521947812813439e-29,1.6513791292852816e-28,4.5610973084519512e-29,586.12799767621698,0.011415712156102374,0.020357258476590367,0.92419787806799947,2.4618727642626979e-11,1.9376665746320624e-14,1.6119491077999024e-14,2.4506580325437821e-11,2.4506580325437821e-11,6.2573235481977463e-10
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.86876736866373827,0.98157196051693496,0.080310590692932601,3953.6575407675027,0.074072252703544339,,,,,,,,
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,4.3913014397805814e-29,1.6638887859201943e-28,4.3126966100090223e-30,1759.1766004974011,0.032958386597365719,0.021781800026998175,0.9300671897352486,2.524738468271988e-11,1.3948849407767261e-14,1.0231686103586295e-14,2.5134489673552071e-11,2.5134489673552071e-11,7.4214767664670944e-10
