projection,layer_index,target_index,target_concept,official_mean,v1_mean,direct_mean,official_median,v1_median,direct_median,official_p95,v1_p95,direct_p95,official_max,v1_max,direct_max,official_contribution_frobenius,v1_contribution_frobenius,direct_contribution_frobenius,direct_to_official_contribution_ratio,direct_to_v1_contribution_ratio
to_v,6,4,orange,0.007952893171022879,0.07749964398827416,0.0008293728244028903,0.008098394609987736,0.00031030550599098206,0.0003776725206989795,0.008098430000245571,0.6121665120124815,0.003069110331125557,0.008098430000245571,0.9998245239257812,0.009534785524010658,375.83007550265864,12186.41961003747,75.89222940033643,0.20193229426578865,0.006227606781062012
to_v,6,5,lemon,0.007836834706540684,0.0787230602312178,0.000982826199630275,0.007973868399858475,0.00036139563599135727,0.0004655224474845454,0.00797390379011631,0.6755142241716384,0.003920855978503823,0.00797390379011631,0.9999828338623047,0.013823602348566055,376.8870471004024,11078.906196733236,85.17993316805475,0.22600918185804056,0.007688478596666085
to_v,6,6,yawl,0.007104486775642726,0.0773247040021218,0.0007697865103538622,0.007194401230663061,0.0003780087427003309,0.0003794645017478615,0.007194432895630598,0.6891658633947366,0.0030654154601506872,0.007194432895630598,0.9999990463256836,0.013064919970929623,337.0855179695406,10931.418126160963,70.02682280044202,0.20774200927483844,0.006406014479754874
to_v,6,7,lifeboat,0.007836799849610544,0.08144814651889476,0.0008909503527427658,0.007973833940923214,0.00033011363120749593,0.0004253473744029179,0.007973868399858475,0.7105666875839233,0.0035689961398020385,0.007973868399858475,0.9999923706054688,0.01269938051700592,380.2051748218397,12150.604334953707,83.70834286915779,0.22016623763309554,0.006889232877771648
to_v,6,8,soccer ball,0.008059438718191814,0.08134782234357232,0.0009547202215761105,0.008213426917791367,0.000410583452321589,0.0005015214555896819,0.008213454857468605,0.697261595726013,0.00373738573398441,0.008213454857468605,0.9996204972267151,0.009957866743206978,383.68891003466024,10369.693489581388,75.6830556039605,0.1972510896838893,0.007298485310101073
to_v,6,9,volleyball,0.008395124124945141,0.07920402204431412,0.0009591776378600163,0.008576024323701859,0.00031382121960632503,0.00041666754987090826,0.008576039224863052,0.7018586874008178,0.003987973160110414,0.008576039224863052,0.9998617172241211,0.011690263636410236,401.9694857315146,10795.474941279119,81.56405096601962,0.20291105136397908,0.0075553925519422655
to_v,7,0,golden retriever,0.007943199338478734,0.07353398505504175,0.0008469967672408891,0.008088557980954647,0.0003118473832728341,0.00036413356428965926,0.008088557980954647,0.5805610328912719,0.0031535886693745806,0.008088557980954647,0.9998569488525391,0.010346771217882633,453.61765401753325,17140.231242215013,117.15750585535426,0.2582736911090896,0.006835234846003986
to_v,7,1,labrador retriever,0.008290071637748041,0.073528264704629,0.000690824009976777,0.00846194103360176,0.00030872144270688295,0.0002855195343727246,0.008461969904601574,0.6211030393838881,0.002719388622790575,0.008461969904601574,0.9999790787696838,0.010032202117145061,472.18713471025393,16616.584159193426,94.14003788768595,0.19937018814680896,0.0056654265994615545
to_v,7,2,tabby,0.007102375394606497,0.07111581035015462,0.0008486832540723621,0.007192297838628292,0.0004508391284616664,0.0004361116443760693,0.007192297838628292,0.5798937171697612,0.003117907338310032,0.007192297838628292,0.9999818801879883,0.011955798603594303,408.18976192873606,17995.061275601485,125.43857458121387,0.30730455851833344,0.006970722280967676
to_v,7,3,tiger cat,0.0083964819816174,0.07912864418640737,0.0007587165631974341,0.00857742503285408,0.0003349676408106461,0.00034992450673598796,0.00857742503285408,0.6944396167993544,0.0030723525793291623,0.00857742503285408,0.9996614456176758,0.008359436877071857,478.357273026444,16988.95029022477,94.41577391977866,0.19737501495991527,0.00555748132208641
to_v,7,4,orange,0.008282430522376672,0.07121863771497203,0.000863943768954598,0.00845417007803917,0.0003568264510249719,0.00038705955375917256,0.00845417007803917,0.6110330551862715,0.003348505171015858,0.00845417007803917,0.9999895691871643,0.013067306019365788,475.65882449148,15648.84882738793,114.17254072430335,0.240030321830702,0.0072959066819332785
to_v,7,5,lemon,0.007359541107143741,0.0688986763377443,0.00107022576469036,0.0074645294807851315,0.0004180350078968331,0.0004932839947286993,0.0074645294807851315,0.5622994929552075,0.004080316377803682,0.0074645294807851315,1.0,0.0233272984623909,428.30434143258407,12912.485304706921,159.19985483964342,0.37169797137043914,0.012329141221296191
to_v,7,6,yawl,0.008394253029837272,0.07707151039441698,0.0007840905674046045,0.00857514888048172,0.0002794635220197961,0.0003239304933231324,0.00857514888048172,0.6442264944314954,0.0030748993740417055,0.00857514888048172,0.9999274611473083,0.010039967484772205,484.3298097915668,15394.76209980571,93.63403502258032,0.19332701215082362,0.006082200843088185
to_v,7,7,lifeboat,0.0072270643137017036,0.07669704256219205,0.0009677642317748716,0.00732435891404748,0.00031173609022516757,0.00044040913053322583,0.00732435891404748,0.6383251190185546,0.0036740218056365848,0.00732435891404748,0.9999713897705078,0.012872920371592045,423.93904455214897,17267.4927859784,135.40355238695352,0.3193939178921215,0.007841529402398495
to_v,7,8,soccer ball,0.0073499688955052985,0.07852035904850538,0.0009224060493901842,0.007454785984009504,0.0003332944761496037,0.00043731206096708775,0.0074548181146383286,0.639349216222763,0.003475556953344494,0.0074548181146383286,0.9999427795410156,0.011514418758451939,423.266232858828,15854.879101338802,115.28471862751111,0.2723692789024397,0.007271245519480269
