projection,layer_index,target_index,target_concept,official_vs_v1_pearson,official_vs_v1_spearman,official_vs_direct_pearson,official_vs_direct_spearman
to_v,14,8,soccer ball,0.05382014117149618,0.04859533317776438,0.09408145463087254,0.04859533317776438
to_v,14,9,volleyball,0.047299841385422356,0.10722252139853998,0.08332927656872245,0.10722252139853998
to_v,15,0,golden retriever,0.05053214086877167,0.07998780988739235,0.09653331612523469,0.07998777046472419
to_v,15,1,labrador retriever,0.04966532272249205,0.07002740910144398,0.09005073002293872,0.07002740910144398
to_v,15,2,tabby,0.05929757635209259,0.07878377939177013,0.1117005993176545,0.07878377939177013
to_v,15,3,tiger cat,0.055175425323624204,0.08793725521020143,0.1053528800067428,0.08793725508440611
to_v,15,4,orange,0.05087754334576666,0.08520020574933207,0.09756076451797964,0.08520020562745213
to_v,15,5,lemon,0.0554494790517851,0.09056483591443047,0.10434194178597364,0.09056483591443047
to_v,15,6,yawl,0.05403112612138829,0.07660916515912468,0.10018453060986199,0.07660916515912468
to_v,15,7,lifeboat,0.04644068684358874,0.06449685294154321,0.08634818225762449,0.06449685294154321
to_v,15,8,soccer ball,0.04793409401184167,0.05920854222447827,0.09251453683475434,0.05920854213977973
to_v,15,9,volleyball,0.04534836042866413,0.0620461935076595,0.08582234220974166,0.062046193418901656
to_k,0,0,golden retriever,0.04343477250205304,0.05100902566704164,0.06961377414135037,0.05100902566704164
to_k,0,1,labrador retriever,0.03196746324875431,-0.029684962608030885,0.05160802463186376,-0.029684962608030885
to_k,0,2,tabby,0.04847019527160234,0.08435602687662076,0.07779800761020578,0.08435602687662076
to_k,0,3,tiger cat,0.023855289459297338,-0.040585379155260594,0.03892466528325494,-0.040585379155260594
to_k,0,4,orange,0.0318856597452924,-0.009530610886389294,0.05180931508005197,-0.009530610886389294
to_k,0,5,lemon,0.008388025137392813,0.008492642890575358,-0.017507598313745362,0.008492642890575358
to_k,0,6,yawl,0.04187566787841059,0.03465991309716569,0.07135922950489715,0.03465991309716569
to_k,0,7,lifeboat,0.04898384728027563,0.04740485720311462,0.08281744740400887,0.047404852863027744
to_k,0,8,soccer ball,0.030410659597784027,0.07049678914685005,0.05289799437736356,0.07049678914685005
to_k,0,9,volleyball,0.03050403176812828,-0.01916838925710802,0.052300555415770826,-0.01916838925710802
to_k,1,0,golden retriever,0.02758896673171962,0.026409071158917843,0.05439021813884675,0.026409071158917843
to_k,1,1,labrador retriever,0.04827321639787752,0.056853508895598454,0.09601656454885195,0.056853508895598454
to_k,1,2,tabby,0.05101811938432944,0.026679224457096307,0.09542168448617154,0.026679224457096307
to_k,1,3,tiger cat,0.043716233959498994,0.08337172969920542,0.0752183298671338,0.08337172969920542
to_k,1,4,orange,0.056617071965181356,0.12940669223142842,0.10517535957357259,0.12940669223142842
to_k,1,5,lemon,0.05603177547447392,0.031503921265167566,0.10767205390763016,0.031503921265167566
to_k,1,6,yawl,0.05907013437510729,0.12068787063488468,0.11687382526282272,0.12068787063488468
to_k,1,7,lifeboat,0.05445996269820166,0.10096118722032217,0.10273048666636359,0.10096118722032217
to_k,1,8,soccer ball,0.0479838102105936,-0.020197461767138637,0.09204299913669252,-0.020197461767138637
to_k,1,9,volleyball,0.07582911598046528,0.08807224634169024,0.13446479837785857,0.08807224634169024
to_k,2,0,golden retriever,0.03237521421290069,0.019508992747792248,0.05740360634759983,0.019508992747792248
to_k,2,1,labrador retriever,0.04002318265858553,0.0600877216692585,0.06689625909015724,0.0600877216692585
to_k,2,2,tabby,0.038365595877892435,-0.029863101855609194,0.07173980800285942,-0.029863101855609194
to_k,2,3,tiger cat,0.028953889843737517,0.025766852241145426,0.053343245565207136,0.025766852241145426
to_k,2,4,orange,0.05252720590749197,0.005835847928838274,0.09279654071879234,0.005835847928838274
to_k,2,5,lemon,0.030984019101307558,-0.0054332816533322345,0.05676467597965294,-0.0054332816533322345
to_k,2,6,yawl,0.03516631757425446,-0.02256904257896885,0.06328245731575909,-0.02256904257896885
