representation,space_type,layer_id,layer_index,layer_name,clustering_method,concept,recall
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,horse,0.82
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,cat,0.62
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,dog,0.84
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,fox,0.56
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,bear,0.64
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,wolf,0.58
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,rabbit,0.56
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,deer,0.74
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,horse,0.84
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.78
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.58
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.2
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.82
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,wolf,0.84
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,rabbit,0.5
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,deer,0.76
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,horse,0.54
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,cat,0.5
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,dog,0.54
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,fox,0.12
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,bear,0.82
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,wolf,0.82
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,rabbit,0.6
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,deer,0.8
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,horse,0.48
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,cat,0.76
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,dog,0.48
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,fox,0.26
