space_type,layer_id,layer_index,layer_name,normalization_stage,representation,concept,vector_type,count,vector_dimension,mean_norm,std_norm,min_norm,max_norm
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,fox,name,1,640,17.701648712158203,0.0,17.701648712158203,17.701648712158203
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,bear,name,1,640,17.764787673950195,0.0,17.764787673950195,17.764787673950195
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,wolf,name,1,640,17.64139747619629,0.0,17.64139747619629,17.64139747619629
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,rabbit,name,1,640,17.352853775024414,0.0,17.352853775024414,17.352853775024414
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,deer,name,1,640,17.44130516052246,0.0,17.44130516052246,17.44130516052246
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,horse,name,1,640,17.61116600036621,0.0,17.61116600036621,17.61116600036621
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,cat,description,50,640,16.854095458984375,1.05663001537323,14.604643821716309,18.962242126464844
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,dog,description,50,640,17.80913543701172,1.1953672170639038,15.870672225952148,22.026395797729492
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,fox,description,50,640,16.36787223815918,1.0048975944519043,14.807367324829102,19.524995803833008
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,bear,description,50,640,17.300918579101562,0.8640558123588562,15.400428771972656,19.44305992126465
