representation,space_type,layer_id,layer_index,layer_name,clustering_method,normalization,ari,nmi,matched_accuracy,silhouette,silhouette_metric,cluster_sizes,objective,inertia,iterations,converged,best_initialization,input_norm_min,input_norm_max,center_norm_min,center_norm_max,centers_normalized_during_fit,labels_available_to_fit
fixed_suffix,W0,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.4481484402613829,0.5613782008120289,0.66,0.044098615646362305,euclidean,"[60, 50, 50, 49, 27, 42, 86, 36]",,74889.3984375,28,True,,33.8924674987793,38.95425033569336,33.35173959100493,34.53012192510861,False,False
fixed_suffix,W0,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.5408207419188847,0.6542604085490925,0.7475,0.0448281429708004,euclidean,"[47, 45, 38, 30, 77, 72, 33, 58]",,55.52912139892578,16,True,,0.9999999403953552,1.0,0.9219777435531236,0.9425962023676058,False,False
eot,W0,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.6794979733711798,0.7360603430032885,0.8175,0.09240951389074326,cosine,"[36, 51, 65, 53, 50, 60, 52, 33]",274.6238479251134,,15,True,2.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.6224509135386606,0.7154030385684157,0.785,0.04609296843409538,euclidean,"[67, 48, 50, 82, 48, 31, 35, 39]",,317563.3125,16,True,,34.44965744018555,42.79195785522461,24.229846940223783,29.560907877056827,False,False
eot,W0,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.6273077791823358,0.7021704815047528,0.7875,0.04794405773282051,euclidean,"[72, 66, 35, 49, 40, 33, 53, 52]",,211.02554321289062,12,True,,0.9999999403953552,1.0,0.6589079444718657,0.7437925494478215,False,False
fixed_suffix,W0,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.5067686547960826,0.6026684428092385,0.7,0.07588957995176315,cosine,"[55, 56, 46, 39, 56, 36, 58, 54]",373.22256989646894,,20,True,43.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,W0,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.5374118329534564,0.6234697611039113,0.71,0.04110939800739288,euclidean,"[48, 51, 33, 49, 40, 62, 34, 83]",,62800.9453125,12,True,,32.28430938720703,36.68739318847656,32.08493110920832,32.9049605640325,False,False
fixed_suffix,W0,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.5008284285258626,0.607672327098822,0.7175,0.042585454881191254,euclidean,"[69, 50, 57, 73, 31, 29, 28, 63]",,51.819610595703125,21,True,,0.9999999403953552,1.0,0.9278923263117252,0.947778483453194,False,False
eot,W0,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.5639545817619284,0.6341020933759498,0.7725,0.0927455872297287,cosine,"[37, 53, 60, 60, 46, 45, 50, 49]",290.4610044476789,,14,True,32.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.5324621790672065,0.6188838071481357,0.7275,0.05077546089887619,euclidean,"[50, 61, 31, 31, 48, 60, 58, 61]",,286186.9375,10,True,,33.85854721069336,45.021873474121094,26.467198732420993,31.012751760771767,False,False
