pair,order,variant,stage,class,number_of_generated_samples,accuracy,seed_set_identifier,checkpoint_identifier
automobile|bird,bird->automobile,stage1,1,horse,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,ship,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,truck,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,baseline_second,2,airplane,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,automobile,200,0.975,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,bird,200,0.655,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,cat,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,deer,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,dog,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,frog,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,horse,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,ship,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,baseline_second,2,truck,200,1.0,cifar10_fixed_42_241,b0f937b741c7176163a5eaa9386059e7cf48694833ecaaf2c14ac43065c57b90
automobile|bird,bird->automobile,retain_previous_second,2,airplane,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,automobile,200,0.975,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,bird,200,0.57,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,cat,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,deer,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,dog,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,frog,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,horse,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
