layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,nearest_centroid_concept,own_centroid_rank,own_centroid_cosine_distance,nearest_other_centroid_cosine_distance,margin,within_cluster_typicality_percentile,rank1_own_centroid,cross_readout
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,cat,dog,4,0.2858535922202947,0.2778250226161876,-0.008028569604107139,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,dog,dog,1,0.2794815893336253,0.28609539727581645,0.00661380794219113,100.0,True,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,fox,dog,5,0.28236297401141974,0.2563321249690186,-0.02603084904240116,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,bear,dog,2,0.3042163294856779,0.3041930595824758,-2.3269903202116637e-05,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,wolf,bear,4,0.2898069226560194,0.2753556339332177,-0.014451288722801658,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,rabbit,dog,7,0.23983786033438714,0.2090336302009128,-0.03080423013347433,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,deer,bear,7,0.2904446667450824,0.2537741585620682,-0.036670508183014205,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,horse,horse,1,0.2391699662611657,0.25463234357980813,0.015462377318642417,100.0,True,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,fox,3,1.0008709841913646,0.9920863335191026,-0.008784650672261973,100.0,False,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,dog,1,0.9793472932953374,0.9905949067552358,0.011247613459898331,100.0,True,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,fox,1,1.0006151796413083,1.0111899660651609,0.010574786423852567,100.0,True,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,bear,1,0.9493514201093917,0.972435179379316,0.023083759269924342,100.0,True,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,fox,5,0.9826657076239459,0.9562899473785617,-0.02637576024538424,100.0,False,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,bear,7,1.0035417935442092,0.9567024702322642,-0.04683932331194507,100.0,False,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,bear,3,1.001822683000317,0.9852211679084,-0.016601515091916985,100.0,False,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,bear,2,0.9748380346663308,0.9718068275288058,-0.003031207137525027,100.0,False,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,cat,1,0.3104640580862934,0.36293510267303397,0.05247104458674057,98.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,dog,1,0.29083683217036316,0.33615966815912346,0.0453228359887603,100.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,cat,3,0.39311010634522114,0.378474274604093,-0.014635831741128147,100.0,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,bear,cat,7,0.41553089030741996,0.3678404037299867,-0.047690486577433244,100.0,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,wolf,wolf,1,0.3620027544880987,0.38793835764742146,0.02593560315932275,100.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,rabbit,cat,2,0.384794785104015,0.37479746799616054,-0.009997317107854453,100.0,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,deer,deer,1,0.2974348864730487,0.3430675541888737,0.04563266771582497,100.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,horse,horse,1,0.3035019858637851,0.37076425682455927,0.0672622709607742,96.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,cat,cat,1,0.14051230081217536,0.15590460656842997,0.01539230575625461,100.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,dog,dog,1,0.12595133352717391,0.14634616549692536,0.020394831969751448,100.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,fox,dog,4,0.13705666536242767,0.12730183626326808,-0.00975482909915959,100.0,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,bear,dog,5,0.1381386762185256,0.11905458549366099,-0.01908409072486461,100.0,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,wolf,wolf,1,0.13214614636793265,0.13683984613234268,0.004693699764410031,100.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,rabbit,cat,2,0.14622993761224257,0.14258836504505878,-0.0036415725671837818,100.0,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,deer,dog,4,0.12195847833227169,0.11848425955938979,-0.0034742187728818985,100.0,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,horse,horse,1,0.11537956227686674,0.13242274330767412,0.017043181030807375,100.0,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,cat,1,0.6282092547175924,0.7441103261966417,0.11590107147904938,100.0,True,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,dog,1,0.5234823837763345,0.5565504899090308,0.033068106132696284,100.0,True,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,cat,2,0.8104540390324437,0.7655065315723273,-0.04494750746011644,100.0,False,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,bear,1,0.6499052235108863,0.6516504356824067,0.0017452121715203495,100.0,True,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,cat,2,0.655481771044525,0.6539251633404981,-0.00155660770402688,100.0,False,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,cat,2,0.7128036824116699,0.6994959849643916,-0.013307697447278333,100.0,False,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,deer,1,0.6638863898615773,0.7296331701710943,0.06574678030951697,100.0,True,True
