layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,centroid_concept,cosine_distance,is_own_centroid,cross_readout
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,cat,0.21205236142900752,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,dog,0.2091808102509516,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,fox,0.2123598966657776,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,bear,0.22363576061968793,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,wolf,0.22100382095141757,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,rabbit,0.19901050299405953,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,deer,0.22782780671069713,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,rabbit,horse,0.2130454962697057,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,cat,0.20517250292191458,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,dog,0.18667269929718266,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,fox,0.1827905236834152,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,bear,0.18949044997284914,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,wolf,0.1892972405026403,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,rabbit,0.18991675794825236,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,deer,0.16550920631177535,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,deer,horse,0.1859956555685338,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,cat,0.22363367747284513,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,dog,0.2084791398483552,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,fox,0.21912077879545844,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,bear,0.22520248727279102,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,wolf,0.22329130500920447,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,rabbit,0.2193322922433376,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,deer,0.223808487822316,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,horse,horse,0.16798442397586966,True,False
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,cat,0.7930282427522101,True,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,dog,0.9427439245609051,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,fox,0.965840442440794,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,bear,0.992296777199857,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,wolf,0.9761472701356568,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,rabbit,0.9875478279011471,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,deer,1.0291170658001065,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,horse,0.9948599435826497,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,cat,0.8970976686733112,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,dog,0.7477342278009055,True,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,fox,0.9509047553327901,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,bear,0.970398815559931,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,wolf,0.9151369028059686,False,True
