group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_preservation_loss,normalized_preservation_distortion,preservation_delta_vs_variant_c,preservation_ratio_vs_variant_c,anchor_feature_drift,orthogonality_residual,exact_mapping_residual,determinant
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.9842954604337617,0.98429546043463956,6197.0913090832455,0.071441209141866621,0,1,0.079338645225189672,2.5669951961626835e-11,,-1.0000000004390424
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.3156010070256165e-29,1.3746717744118907e-29,4258.4310953785243,0.049091977401599818,-0.022349231740266803,0.68716610470735295,1.3921827440115979,2.4648186866937281e-11,1.8056472061343287e-14,-1.0000000004161587
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.94985344694443563,0.94985344694473162,8339.6506328585547,0.095817440749957919,0,1,0.080544026886005454,6.900081921364633e-12,,1.0000000000826252
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.7938058536466644e-29,2.8954358770579368e-29,6279.5697650960792,0.072148382515165463,-0.023669058234792456,0.75297755763944418,1.2380620494255983,6.6708860302850094e-12,1.7720898876687859e-14,-1.0000000000791305
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.92170305817423381,0.92170305817457987,4950.9823024961288,0.089708158714947514,0,1,0.087036112272769098,7.0960956240427096e-12,,1.0000000000849469
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,9.1885775926992263e-30,1.0218227392740368e-29,3260.4089111957337,0.059076211994075249,-0.030631946720872265,0.65853778341157443,0.60303823839469584,6.7598057827246339e-12,1.3125664373051615e-14,1.0000000000805782
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95335252975191764,0.95335252975229234,4234.5932705670675,0.11809197164284627,0,1,0.14324837027760715,6.9533752597921084e-12,,1.0000000000833789
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.115839576799142e-29,1.229123297639876e-29,2227.2799461137356,0.062113138956063442,-0.055978832686782824,0.52597257960868427,0.83733455335744222,6.7293839218784179e-12,1.5834714527280934e-14,-1.0000000000801477
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.89194306274154922,0.89194306274170965,1582.3748902772465,0.2314180182827528,0,1,0.1537682798881381,2.1405740848581123e-12,,1.0000000000169706
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.2853006007314734e-29,1.3455957791206482e-29,383.84470648685544,0.056136242965754729,-0.17528177531699807,0.24257507424147912,0.23139428806089393,1.8543431875712544e-12,1.4956532350010206e-14,1.0000000000144935
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.88959736740605766,0.88959736740620132,2093.1421356407109,0.1873980944324671,0,1,0.10716749010473162,2.1300403637629738e-12,,1.0000000000172047
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.1528493651826055e-29,1.2253258612575761e-29,732.11841393358782,0.065546239471252321,-0.12185185496121478,0.34977004259172606,0.3291832339547715,1.8456916967728281e-12,1.0135310876797414e-14,-1.0000000000145506
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.88795304996693891,0.88795304996710589,2235.9020523350673,0.1972893718253472,0,1,0.10091355002618024,2.2274168420010508e-12,,1.0000000000178653
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.7820572690725665e-29,1.8382519386364302e-29,762.99437340741383,0.067324362656501949,-0.12996500916884524,0.34124677895016897,0.25120768077343858,1.9558231386516053e-12,1.5567368934473885e-14,1.0000000000156117
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.98529842377804966,0.98529842377878563,5507.9326594357817,0.066560753446618312,0,1,0.072636746262228546,2.3787402817358721e-11,,-1.0000000004092837
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.3946709617948649e-29,1.4668876497777563e-29,3649.8798768226379,0.044107066954564261,-0.022453686492054051,0.66265876917901934,1.441504779045937,2.4480490009467752e-11,1.2640844860534746e-14,1.0000000004188898
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.94450555451148599,0.94450555451163043,2009.6873648888334,0.20422144944628087,0,1,0.29237114437394202,2.0295431534980027e-12,,1.0000000000163531
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.5504312077727524e-29,1.6165535784830817e-29,816.92142307654285,0.083014343434277618,-0.12120710601200325,0.40649179437008159,0.56032065301203238,1.7305764842277507e-12,1.4854304391132616e-14,-1.0000000000131768
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.89670296992234588,0.89670296992247689,1379.0712887770887,0.18048754943486331,0,1,0.28394091505511365,2.1188535187200626e-12,,1.0000000000172427
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.2229293836106014e-29,1.2897642969024635e-29,486.5780920265903,0.063681470387544264,-0.11680607904731904,0.35283026772174364,0.27039526699596717,1.8569608028567234e-12,1.1512014155201807e-14,1.0000000000144067
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.93871522431470256,0.93871522431506049,2834.4224148867997,0.13611333303795792,0,1,0.29235453340292178,6.659907715766268e-12,,1.0000000000791467
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.028641909660645e-29,1.1485887451510984e-29,1402.3575398706182,0.067343370508281888,-0.068769962529676029,0.49475954342769524,0.62304841756567153,6.551438500516173e-12,1.2934438835164182e-14,1.0000000000779918
