group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_frozen_s_preservation_loss,normalized_frozen_s_preservation_distortion,frozen_s_delta_vs_variant_c,frozen_s_ratio_vs_variant_c,anchor_feature_drift,anchor_delta_vs_variant_c,anchor_ratio_vs_variant_c,anchor_delta_vs_variant_d,orthogonality_residual,exact_mapping_residual,determinant
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.3223866265802853e-29,1.4289115847917964e-29,96129.075492498174,1.7489337717635556,1.6520897542445065,18.059285607596198,0.53602744421019244,0.28017243562494304,2.0950437795771788,-0.10233314976225916,6.1509704769278832e-12,1.495204583551465e-14,-1.0000000000731057
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.93984800014323877,0.93984800014360548,4337.760108177823,0.12207904929894635,0,1,0.29944933835956722,0,1,-0.37368048841218138,6.7849147601116795e-12,,1.000000000080971
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,9.4462674234696189e-30,1.0550472798476384e-29,2631.9266054224217,0.074071200297321921,-0.048007849001624428,0.60674784676555649,0.6731298267717486,0.37368048841218138,2.2478921825617135,0,6.7666206316655834e-12,1.7439846517622261e-14,-1.0000000000806755
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,9.6768179710158009e-30,1.0841891373498696e-29,65822.430164273232,1.8524629063399913,1.730383857041045,15.174290076618247,0.54434302362829567,0.24489368526872846,1.8178134124800422,-0.12878680314345292,6.3455723181835755e-12,1.7518034541031342e-14,-1.0000000000752109
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.88784836246468302,0.8878483624648551,1560.8537510003525,0.22820049161036082,0,1,0.32834823493913251,0,1,0.018645798867444108,2.191724924165722e-12,,1.0000000000174147
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.9408402658655234e-29,1.9977538631652636e-29,462.61294568693233,0.067635101343361703,-0.16056539026699912,0.29638455581789341,0.3097024360716884,-0.018645798867444108,0.94321334216734687,0,1.842680903262083e-12,1.1042943961851822e-14,1.0000000000143985
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.9405941641107968e-29,2.0117085317575535e-29,7971.5720067146804,1.1654625871730822,0.93726209556272133,5.1071870132648192,0.19166382463187664,-0.13668441030725587,0.58372119669656908,-0.11803861143981176,1.9237830517089619e-12,1.1158344765266779e-14,1.000000000015056
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.89023504116750007,0.89023504116767638,2026.5709783042048,0.1828954843783486,0,1,0.22608677094817958,0,1,-0.15096868711047884,2.1261596931472543e-12,,1.0000000000167357
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.4473801505069919e-29,1.5145121281240972e-29,811.2705989410689,0.07321615218204662,-0.10967933219630198,0.40031689372159285,0.37705545805865842,0.15096868711047884,1.6677466641561338,0,1.8775380926368795e-12,1.4400344088376199e-14,1.0000000000149747
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.4527759068745145e-29,1.5282567612314421e-29,13166.291929712923,1.188241303034252,1.0053458186559034,6.4968323688964595,0.24891900510325604,0.022832234155076458,1.1009888108858423,-0.12813645295540238,1.8452864380438584e-12,1.4376192825471153e-14,1.0000000000143379
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.88386632423771294,0.88386632423790068,2172.4093959080074,0.19228878451351686,0,1,0.22884071557036179,0,1,-0.026169633976001361,2.1586703105028927e-12,,1.0000000000170672
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.2241433563543165e-29,1.2724398238421384e-29,828.36129545505025,0.073321624801073584,-0.11896715971244327,0.38130993956082482,0.25501034954636315,0.026169633976001361,1.1143574206660569,0,1.9652068813952185e-12,1.8281780181869134e-14,1.0000000000155784
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.2315117242714542e-29,1.2816392303121747e-29,11794.868472403872,1.0440117439776453,0.85172295946412846,5.4293948896653248,0.18142967026033069,-0.047411045310031097,0.79282076097400778,-0.073580679286032458,2.0084981648680435e-12,1.8429536365075561e-14,-1.0000000000160048
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.94460988562717818,0.94460988562734283,1833.7678772072302,0.18834329449895193,0,1,0.18578178630602224,0,1,-0.42079013837850532,2.0192819209916812e-12,,1.000000000016092
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.3352219811751936e-29,2.4037991078830369e-29,721.41892385893186,0.074095755805479682,-0.11424753869347225,0.39340798408882033,0.60657192468452759,0.42079013837850532,3.2649698161765666,0,1.7539240817236457e-12,1.2602990516241607e-14,-1.0000000000136877
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,2.3611771960724805e-29,2.4176873922698069e-29,15706.958312930179,1.6132359564070708,1.4248926619081188,8.5654016018926971,0.52774411062395266,0.34196232431793039,2.8406665751111118,-0.07882781406057493,1.9121981183191267e-12,1.2687040501227957e-14,1.0000000000150882
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.89872581616206704,0.8987258161622288,1494.2754573777875,0.19878860189201808,0,1,0.15172569667134567,0,1,-0.14568231652680796,2.2145375363588556e-12,,1.0000000000179448
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,9.7941982515498795e-30,1.0441019047109055e-29,366.64346450675862,0.048775840720856729,-0.15001276117116136,0.24536537938604627,0.29740801319815363,0.14568231652680796,1.9601690400695386,0,1.8410874149691239e-12,1.2015993121428577e-14,1.0000000000145357
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,9.8487437898300599e-30,1.0570686731352865e-29,8480.4153815866284,1.1281788165934918,0.92939021470147376,5.6752691344261192,0.26426863743535856,0.11254294076401289,1.7417526709914743,-0.033139375762795076,1.9714793990103431e-12,1.2094927603433485e-14,-1.000000000015806
