group,target_names,anchor_names,layer_name,solver_variant,target_expanded_column_count,target_numerical_rank,anchor_expanded_column_count,anchor_numerical_rank,paper_erase_loss,preserve_loss,total_paper_objective,true_leakage,anchor_feature_drift,orthogonality_error,determinant
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-657291.125,2071.83740234375,-655219.3125,0.93417398134867347,0.10979419946670532,0.0059125763364136219,1.0750153064727783
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1297934.625,4125.81982421875,-1293808.75,0.98712436358133948,0.1001419723033905,0.016241444274783134,1.3125733137130737
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1297947.875,3961.247314453125,-1293986.625,0.98695270220438636,0.094363562762737274,0.015873050317168236,1.304479718208313
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1298874.375,3961.368408203125,-1294913,0.98159948984781897,0.094355151057243347,0.015604004263877869,-1.2994843721389771
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1298547.125,3954.061767578125,-1294593.125,0.98611823717753089,0.080319948494434357,0.016560651361942291,1.3214949369430542
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1298514.5,4160.07421875,-1294354.375,0.98581226666768396,0.08506716787815094,0.016455162316560745,1.3180525302886963
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1299323.25,3953.93359375,-1295369.375,0.98170200983683265,0.080317087471485138,0.016574548557400703,-1.3215818405151367
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1298171.125,5831.10205078125,-1292340,0.98839569091796875,0.071112565696239471,0.015819665044546127,1.3053518533706665
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1298122.5,6023.689453125,-1292098.75,0.98827616373697913,0.071592934429645538,0.01619473472237587,1.3137155771255493
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1299064.5,5830.9423828125,-1293233.5,0.98338333765665686,0.071108587086200714,0.015975775197148323,1.3095811605453491
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1297661,6975.458984375,-1290685.5,0.98671118418375647,0.061521083116531372,0.016197863966226578,1.3131061792373657
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1297615.5,7266.1484375,-1290349.375,0.98685852686564124,0.067929565906524658,0.016976708546280861,1.3329476118087769
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1298679.375,6975.42578125,-1291704,0.98063397407531738,0.061524346470832825,0.015989936888217926,-1.3100441694259644
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1297990,6603.921875,-1291386.125,0.98937368392944336,0.084558047354221344,0.016549458727240562,1.3254592418670654
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1298013.375,6198.08935546875,-1291815.25,0.98945681254069007,0.079355739057064056,0.01653624139726162,1.3250781297683716
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1298927.25,6198.07958984375,-1292729.125,0.98460229237874353,0.079348661005496979,0.01619427278637886,-1.3155463933944702
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-655443.625,8340.25390625,-647103.375,0.97444677352905273,0.080551236867904663,0.0052889366634190083,1.0663962364196777
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-655443.4375,8340.2080078125,-647103.25,0.97443731625874841,0.080550804734230042,0.0052403616718947887,1.0655167102813721
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-656940.125,8340.263671875,-648599.875,0.94998908042907715,0.080550916492938995,0.0053164404816925526,1.0667426586151123
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-655588.5,4951.3916015625,-650637.125,0.94122012456258142,0.087043091654777527,0.0057746833190321922,1.0732170343399048
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-655588.625,4951.40234375,-650637.25,0.94122282663981116,0.087042674422264099,0.0056973882019519806,1.0721014738082886
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-656881.1875,4951.263671875,-651929.9375,0.9218050638834635,0.087042495608329773,0.0057663703337311745,1.073060154914856
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-656448.5625,4234.85400390625,-652213.6875,0.96876621246337891,0.14326176047325134,0.0056223017163574696,1.0709550380706787
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-656448.5,4234.83984375,-652213.6875,0.96876207987467444,0.1432628333568573,0.0056954906322062016,1.0719369649887085
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-657733.375,4234.841796875,-653498.5625,0.95346482594807946,0.14325730502605438,0.005872827023267746,1.0745177268981934
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-334936.34375,1582.42578125,-333353.90625,0.90869855880737305,0.15377560257911682,0.0020483005791902542,1.0177321434020996
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-334936.46875,1582.436279296875,-333354.03125,0.90870404243469238,0.15377606451511383,0.0020125049632042646,1.0175060033798218
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-336287.46875,1582.392822265625,-334705.0625,0.89198017120361328,0.15377375483512878,0.0020765438675880432,1.0178936719894409
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-334832.71875,2093.2255859375,-332739.5,0.90566460291544593,0.1071714460849762,0.0018937929999083281,1.0162878036499023
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-334832.75,2093.22509765625,-332739.53125,0.90566507975260413,0.10717131942510605,0.0019791640806943178,1.0171010494232178
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-336231.5625,2093.19677734375,-334138.375,0.88964136441548669,0.10717174410820007,0.0019396906718611717,1.0167436599731445
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-334703,2235.98291015625,-332467.03125,0.90414206186930335,0.10091759264469147,0.0018444115994498134,1.0158536434173584
