projection,layer_index,target_index,target_concept,official_contribution_frobenius,geo_contribution_frobenius,lambda,new_contribution_frobenius,new_to_official_ratio,norm_matches,rtol,atol
to_k,2,1,labrador retriever,562.260986328125,352.3496398925781,1.5957473516464233,562.2610473632812,1.0000001192092896,True,1e-05,1e-07
to_k,2,2,tabby,571.5616455078125,394.6199035644531,1.448385238647461,571.5616455078125,1.0,True,1e-05,1e-07
to_k,2,3,tiger cat,471.3763427734375,358.89300537109375,1.3134174346923828,471.3763122558594,0.9999999403953552,True,1e-05,1e-07
to_k,2,4,orange,666.92626953125,350.737060546875,1.9014992713928223,666.92626953125,1.0,True,1e-05,1e-07
to_k,2,5,lemon,514.946533203125,449.1025695800781,1.146612286567688,514.946533203125,1.0,True,1e-05,1e-07
to_k,2,6,yawl,528.8267822265625,322.6531677246094,1.638994574546814,528.8267822265625,1.0,True,1e-05,1e-07
to_k,2,7,lifeboat,618.0093383789062,339.9439392089844,1.817974328994751,618.0093383789062,1.0,True,1e-05,1e-07
to_k,2,8,soccer ball,504.2829895019531,323.0489501953125,1.5610110759735107,504.2829895019531,1.0,True,1e-05,1e-07
to_k,2,9,volleyball,528.0158081054688,379.4140930175781,1.3916610479354858,528.0158081054688,1.0,True,1e-05,1e-07
to_k,3,0,golden retriever,646.2236328125,467.1104431152344,1.3834493160247803,646.2235717773438,0.9999998807907104,True,1e-05,1e-07
to_k,3,1,labrador retriever,598.5919189453125,441.4119567871094,1.3560844659805298,598.5919189453125,1.0,True,1e-05,1e-07
to_k,3,2,tabby,539.6831665039062,469.58563232421875,1.149275302886963,539.6831665039062,1.0,True,1e-05,1e-07
to_k,3,3,tiger cat,581.44873046875,402.9043884277344,1.4431432485580444,581.44873046875,1.0,True,1e-05,1e-07
to_k,3,4,orange,580.130615234375,405.0497741699219,1.4322452545166016,580.130615234375,1.0,True,1e-05,1e-07
to_k,3,5,lemon,594.8882446289062,507.6446838378906,1.1718595027923584,594.8882446289062,1.0,True,1e-05,1e-07
to_k,3,6,yawl,587.8854370117188,473.6515197753906,1.2411770820617676,587.8853759765625,0.9999998807907104,True,1e-05,1e-07
to_k,3,7,lifeboat,525.9637451171875,425.88427734375,1.2349921464920044,525.9637451171875,1.0,True,1e-05,1e-07
to_k,3,8,soccer ball,483.6380920410156,433.8212585449219,1.1148326396942139,483.6380920410156,1.0,True,1e-05,1e-07
to_k,3,9,volleyball,538.2249755859375,334.3475036621094,1.6097772121429443,538.2249755859375,1.0,True,1e-05,1e-07
to_k,4,0,golden retriever,874.114990234375,589.8014526367188,1.482049584388733,874.114990234375,1.0,True,1e-05,1e-07
to_k,4,1,labrador retriever,765.45849609375,584.15673828125,1.3103649616241455,765.45849609375,1.0,True,1e-05,1e-07
to_k,4,2,tabby,679.505859375,553.8684692382812,1.2268362045288086,679.505859375,1.0,True,1e-05,1e-07
to_k,4,3,tiger cat,842.2652587890625,601.72412109375,1.399753212928772,842.2653198242188,1.0000001192092896,True,1e-05,1e-07
to_k,4,4,orange,638.8442993164062,588.4237670898438,1.0856873989105225,638.84423828125,0.9999998807907104,True,1e-05,1e-07
to_k,4,5,lemon,758.8627319335938,555.53369140625,1.3660067319869995,758.86279296875,1.0000001192092896,True,1e-05,1e-07
to_k,4,6,yawl,850.4386596679688,509.2914123535156,1.6698468923568726,850.438720703125,1.0000001192092896,True,1e-05,1e-07
to_k,4,7,lifeboat,775.1713256835938,539.6976318359375,1.4363067150115967,775.1713256835938,1.0,True,1e-05,1e-07
to_k,4,8,soccer ball,759.1116333007812,603.0189208984375,1.2588521242141724,759.1116333007812,1.0,True,1e-05,1e-07
to_k,4,9,volleyball,793.7362670898438,546.3925170898438,1.4526851177215576,793.7362670898438,1.0,True,1e-05,1e-07
to_k,5,0,golden retriever,787.9647216796875,550.1243896484375,1.4323391914367676,787.9647216796875,1.0,True,1e-05,1e-07
to_k,5,1,labrador retriever,767.9182739257812,377.3794860839844,2.034870147705078,767.918212890625,0.9999999403953552,True,1e-05,1e-07
to_k,5,2,tabby,675.74365234375,431.0440368652344,1.5676904916763306,675.74365234375,1.0,True,1e-05,1e-07
to_k,5,3,tiger cat,735.060791015625,445.4342346191406,1.6502116918563843,735.0607299804688,0.9999999403953552,True,1e-05,1e-07
to_k,5,4,orange,723.913818359375,325.8560485839844,2.2215754985809326,723.913818359375,1.0,True,1e-05,1e-07
to_k,5,5,lemon,754.1064453125,413.3179931640625,1.8245187997817993,754.1064453125,1.0,True,1e-05,1e-07
to_k,5,6,yawl,704.0372924804688,306.7508544921875,2.2951436042785645,704.0372314453125,0.9999999403953552,True,1e-05,1e-07
